observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-05T00:18:29+09:00,4,0,50,218|416|503|517
2026-09-05T00:31:27+09:00,3,0,50,102|517|611
2026-09-05T00:44:00+09:00,1,0,50,611
2026-09-05T00:55:21+09:00,3,0,50,202|312|611
2026-09-05T01:18:32+09:00,0,0,50,
2026-09-05T01:31:17+09:00,0,0,50,
2026-09-05T01:42:30+09:00,0,0,50,
2026-09-05T01:54:42+09:00,0,0,50,
2026-09-05T02:15:52+09:00,0,0,50,
2026-09-05T03:18:46+09:00,0,0,50,
2026-09-05T04:13:44+09:00,1,0,50,613
2026-09-05T05:16:45+09:00,1,0,50,205
2026-09-05T06:15:52+09:00,1,0,50,203
2026-09-05T07:15:52+09:00,2,0,50,205|515
2026-09-05T08:14:57+09:00,4,0,50,205|503|513|515
2026-09-05T09:27:14+09:00,2,2,50,101|102
2026-09-05T10:15:46+09:00,4,6,50,401|403|412|611
2026-09-05T10:42:45+09:00,3,6,50,402|403|411
2026-09-05T11:17:18+09:00,4,4,50,303|313|403|615
2026-09-05T11:43:17+09:00,3,3,50,303|403|516
2026-09-05T12:17:13+09:00,2,4,50,312|417
2026-09-05T12:42:37+09:00,4,3,50,203|215|301|412
2026-09-05T13:17:31+09:00,2,1,50,301|613
2026-09-05T13:42:40+09:00,3,4,50,316|402|416
2026-09-05T14:15:50+09:00,1,1,50,101
2026-09-05T14:41:23+09:00,0,3,50,
2026-09-05T15:21:29+09:00,4,3,50,205|302|305|501
2026-09-05T15:44:58+09:00,2,1,50,102|417
2026-09-05T16:15:50+09:00,5,7,50,303|315|401|415|516
2026-09-05T16:41:34+09:00,3,2,50,203|211|312
2026-09-05T17:18:07+09:00,4,3,50,215|416|502|612
2026-09-05T17:42:48+09:00,3,1,50,212|402|612
2026-09-05T18:16:36+09:00,2,1,50,201|202
2026-09-05T18:28:10+09:00,3,1,50,205|305|415
2026-09-05T18:41:41+09:00,2,2,50,313|418
2026-09-05T18:55:11+09:00,4,4,50,313|403|418|513
2026-09-05T19:16:42+09:00,0,1,50,
2026-09-05T19:28:24+09:00,0,3,50,
2026-09-05T19:41:48+09:00,0,0,50,
2026-09-05T19:55:12+09:00,0,2,50,
2026-09-05T20:16:01+09:00,1,3,50,215
2026-09-05T20:27:27+09:00,2,2,50,202|518
2026-09-05T20:40:59+09:00,1,2,50,518
2026-09-05T20:55:25+09:00,1,5,50,502
2026-09-05T21:21:25+09:00,0,4,50,
2026-09-05T21:35:16+09:00,1,4,50,303
2026-09-05T21:47:52+09:00,1,3,50,416
2026-09-05T21:56:29+09:00,0,0,50,
2026-09-05T22:16:20+09:00,0,0,50,
